description,alertlevel,alertscore,episodealertscore,country,fromdate,todate,severity (ha),iso3,GDACS ID,People affected,Duration (days),longitude,latitude
Green Forest fires in Australia from: 26 Apr 2021 to: 30 Apr 2021.,Green,1,1,Australia,26/04/2021,30/04/2021,5945,AUS,WF 1000223,0,4,128.229907,-17.63066115
GREEN Forest fires in Australia from: 23 Jul 2021 to: 04 Aug 2021.,GREEN,1,1,Australia,23/07/2021,4/08/2021,17720,AUS,WF 1001480,0,12,133.4643076,-14.16240815
Green Forest fires in Australia from: 29 Jul 2021 to: 04 Aug 2021.,Green,1,1,Australia,29/07/2021,4/08/2021,13751,AUS,WF 1001307,0,6,144.3631895,-15.84647654
GREEN Forest fires in Australia from: 30 Jul 2021 to: 04 Aug 2021.,GREEN,1,1,Australia,30/07/2021,4/08/2021,6111,AUS,WF 1001303,0,5,135.4405163,-13.71755103
Green Forest fires in Australia from: 18 Sep 2021 to: 04 Oct 2021.,Green,1,0.5,Australia,18/09/2021,4/10/2021,19630,AUS,WF 1002582,1,16,122.3993227,-17.39739817
Green Forest fires in Australia from: 23 Sep 2021 to: 02 Oct 2021.,Green,1,0.5,Australia,23/09/2021,2/10/2021,6497,AUS,WF 1002581,0,9,144.8691438,-17.0633083
Green Forest fires in Australia from: 21 Sep 2021 to: 02 Oct 2021.,Green,1,0.5,Australia,21/09/2021,2/10/2021,6862,AUS,WF 1002593,0,11,123.0330357,-16.77928387
Green Forest fires in Australia from: 31 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,31/10/2021,9/11/2021,36534,AUS,WF 1003485,0,9,142.7105182,-12.35741282
Green Forest fires in Australia from: 31 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,31/10/2021,9/11/2021,53145,AUS,WF 1003486,3,9,123.0893848,-18.15343051
Green Forest fires in Australia from: 24 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,24/10/2021,9/11/2021,62581,AUS,WF 1002777,0,16,143.9510087,-15.0084174
Green Forest fires in Australia from: 24 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,24/10/2021,9/11/2021,94878,AUS,WF 1002846,0,16,143.238532,-15.77307845
Green Forest fires in Australia from: 24 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,24/10/2021,9/11/2021,39779,AUS,WF 1002859,0,16,142.0031194,-14.14575143
Green Forest fires in Australia from: 23 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,23/10/2021,9/11/2021,16263,AUS,WF 1002865,0,17,133.5370491,-12.00530851
Green Forest fires in Australia from: 22 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,22/10/2021,9/11/2021,33460,AUS,WF 1002878,0,18,142.2579209,-13.63051044
Green Forest fires in Australia from: 31 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,31/10/2021,9/11/2021,9093,AUS,WF 1003201,0,9,135.0968853,-16.0665586
Green Forest fires in Australia from: 31 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,31/10/2021,9/11/2021,14290,AUS,WF 1003206,0,9,143.9418207,-15.21271051
Green Forest fires in Australia from: 31 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,31/10/2021,9/11/2021,9870,AUS,WF 1003217,0,9,129.5103847,-15.26570016
Green Forest fires in Australia from: 27 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,27/10/2021,9/11/2021,7190,AUS,WF 1003235,0,13,143.365757,-15.59708279
Green Forest fires in Australia from: 25 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,25/10/2021,9/11/2021,13057,AUS,WF 1003260,0,15,142.2575726,-11.56094246
Green Forest fires in Australia from: 25 Oct 2021 to: 09 Nov 2021.,Green,1,0.5,Australia,25/10/2021,9/11/2021,8029,AUS,WF 1003304,0,15,143.0781668,-13.05741732
Green Forest fires in Australia from: 29 Nov 2021 to: 09 Dec 2021.,Green,1,0.5,Australia,29/11/2021,9/12/2021,5826,AUS,WF 1003632,0,10,123.0082369,-32.64817962
Green Forest fires in Australia from: 30 Nov 2021 to: 02 Dec 2021.,Green,1,0.5,Australia,30/11/2021,2/12/2021,9793,AUS,WF 1003607,0,2,122.9523443,-17.51402804
Green Forest fires in Australia from: 24 Nov 2021 to: 02 Dec 2021.,Green,1,0.5,Australia,24/11/2021,2/12/2021,39463,AUS,WF 1003522,0,8,122.6977984,-17.40136197
Green Forest fires in Australia from: 22 Dec 2021 to: 10 Jan 2022.,Green,1,0.5,Australia,22/12/2021,10/01/2022,5624,AUS,WF 1003786,0,19,120.942071,-31.94144056
Green Forest fires in Australia from: 29 Mar 2022 to: 14 Apr 2022.,Green,1,0.5,Australia,29/03/2022,14/04/2022,13910,AUS,WF 1005277,0,16,128.532824,-16.39733158
Green Forest fires in Australia from: 30 Mar 2022 to: 12 Apr 2022.,Green,1,0.5,Australia,30/03/2022,12/04/2022,14268,AUS,WF 1005318,0,13,129.9599849,-15.95507021
Green Forest fires in Australia from: 28 Mar 2022 to: 12 Apr 2022.,Green,1,0.5,Australia,28/03/2022,12/04/2022,5544,AUS,WF 1005481,0,15,126.6434374,-17.42110401
Green Forest fires in Australia from: 29 Mar 2022 to: 12 Apr 2022.,Green,1,0.5,Australia,29/03/2022,12/04/2022,13067,AUS,WF 1005179,0,14,128.4692795,-17.15756382
Green Forest fires in Australia from: 30 Mar 2022 to: 12 Apr 2022.,Green,1,0.5,Australia,30/03/2022,12/04/2022,31460,AUS,WF 1005176,0,13,129.6556651,-15.67988801
Green Forest fires in Australia from: 24 Mar 2022 to: 12 Apr 2022.,Green,1,0.5,Australia,24/03/2022,12/04/2022,90163,AUS,WF 1005069,0,19,130.0453505,-18.44866026
Green Forest fires in Australia from: 30 Mar 2022 to: 11 Apr 2022.,Green,1,0.5,Australia,30/03/2022,11/04/2022,28111,AUS,WF 1005173,0,12,127.5471109,-15.48979182
