,description,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity (magnitude),source,iso3,Death,Displaced,GDACS_ID,longitude,latitude
10,GREEN Flood in Australia from: 06 Mar 2000 00 to: 11 Mar 2000 23.,GREEN,1,GREEN,1,Australia,6/03/2000 0:00,11/03/2000 23:59,6.51,DFO,AUS,1,-1,FL 1590,119.171,-23.525
113,GREEN Flood in Australia from: 18 Feb 2001 00 to: 23 Feb 2001 23.,GREEN,1,GREEN,1,Australia,18/02/2001 0:00,23/02/2001 23:59,5.28,DFO,AUS,0,670,FL 1696,130.974,-16.604
292,GREEN Flood in Australia from: 23 Feb 2002 00 to: 01 Mar 2002 23.,GREEN,1,GREEN,1,Australia,23/02/2002 0:00,1/03/2002 23:59,5.91,DFO,AUS,0,32,FL 1886,126.014,-18.06
296,GREEN Flood in Australia from: 12 Feb 2002 00 to: 23 Feb 2002 23.,GREEN,1,GREEN,1,Australia,12/02/2002 0:00,23/02/2002 23:59,5.09,DFO,AUS,0,-1,FL 1877,132.042,-14.116
300,GREEN Flood in Australia from: 15 Feb 2002 00 to: 18 Feb 2002 23.,GREEN,1,GREEN,1,Australia,15/02/2002 0:00,18/02/2002 23:59,5.28,DFO,AUS,0,14,FL 1881,146.755,-20.269
304,GREEN Flood in Australia from: 05 Feb 2002 00 to: 09 Feb 2002 23.,GREEN,1,GREEN,1,Australia,5/02/2002 0:00,9/02/2002 23:59,4,DFO,AUS,0,-1,FL 1874,151.113,-33.92
518,GREEN Flood in Australia from: 22 Jan 2003 00 to: 06 Mar 2003 23.,GREEN,1,GREEN,1,Australia,22/01/2003 0:00,6/03/2003 23:59,6.86,DFO,AUS,0,-1,FL 2137,139.397,-17.93
530,GREEN Flood in Australia from: 26 Jan 2003 00 to: 04 Feb 2003 23.,GREEN,1,GREEN,1,Australia,26/01/2003 0:00,4/02/2003 23:59,6.47,DFO,AUS,0,-1,FL 2143,118.212,-22.496
531,GREEN Flood in Australia from: 25 Jan 2003 00 to: 04 Feb 2003 23.,GREEN,1,GREEN,1,Australia,25/01/2003 0:00,4/02/2003 23:59,4.31,DFO,AUS,0,-1,FL 2141,145.86,-17.299
541,GREEN Flood in Australia from: 22 Feb 2003 00 to: 24 Mar 2003 23.,GREEN,1,GREEN,1,Australia,22/02/2003 0:00,24/03/2003 23:59,7.59,DFO,AUS,0,-1,FL 2170,138.398,-29.213
